id,title,price,base_price,original_price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,category_id,reviews_quantity,reviews_average,brand
MLA1439213343,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Outlet,64400.0,64400.0,,ARS,135,,,new,MLA352001,,,
MLA1912327352,Onn 4k 2gen Google Tv 2023 8gb + 2 Gb Ram + Fuente + Remoto,71700.0,71700.0,,ARS,155,,,new,MLA352001,,,
MLA1361366203,Google Chromecast With Google Tv Hd 8gb Snow 2gb Ram,129499.0,129499.0,,ARS,449,,,new,MLA352001,,,
MLA1391312469,Xiaomi Mi Tv Stick 4k 8gb Ram 2gb Chromecast Amazon Netflix ,124999.0,124999.0,,ARS,44,,,new,MLA352001,,,
MLA2016252780,Onn Google Tv Fhd Streaming Stick 2da Generación 8gb 1.5gb Ram Color Negro Control Remoto De Voz,74999.0,74999.0,,ARS,266,,,new,MLA352001,,,
MLA1997664926,Google Chromecast 4 Generación Con Google Tv Blanco,150087.0,150087.0,,ARS,3,,,new,MLA352001,,,
MLA1459903731,Google Chromecast 3 Full Hd Media Streaming Negro,140000.0,140000.0,,ARS,28,,,new,MLA352001,,,
MLA885133507,Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto,299999.0,299999.0,,ARS,3459,,,new,MLA352001,,,
MLA1442224189,Chromecast  Google Tv 4 Generación 4k 8gb Con Cargador,130000.0,130000.0,,ARS,211,,,new,MLA352001,,,
MLA1472409655,Google Chromecast 4k Color Sky 4ta Generación,106990.0,106990.0,,ARS,90,,,new,MLA352001,,,
MLA1478244983,Google Chromecast Tv 4 1080p Fhd Control Remoto Wifi Hdmi Color Blanco,161629.0,161629.0,,ARS,1,,,new,MLA352001,,,
MLA2009244670,Google Chromecast 4k Gen 4 Ga01919-es Snow 8gb Control Voz,109700.0,109700.0,,ARS,14,,,new,MLA352001,,,
MLA1909501704,Xiaomi Mi Tv Stick 2a Gen 8gb Full Hd Mdz-24-aa,75499.0,75499.0,,ARS,44,,,new,MLA352001,,,
